sedalea,sedaleaname,fips,stateabb,gslo,gshi,urban,suburb,town,rural,locale_city_large,locale_city_midsize,locale_city_small,locale_suburb_large,locale_suburb_midsize,locale_suburb_small,locale_town_fringe,locale_town_distant,locale_town_remote,locale_rural_fringe,locale_rural_distant,locale_rural_remote,avgrdall,pernam,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perecd,perell,perspeced,totenrl,diffexpecd_blkwht,diffexpecd_hspwht,diffexpecd_namwht,diffexpecd_asnwht,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,diffexpmin2_blkwht,diffexpmin2_hspwht,diffexpmin2_namwht,diffexpmin2_asnwht,sesavgall,sesavgasn,sesavgblk,sesavghsp,sesavgnam,sesavgwht,sesavgwhtblk,sesavgwhthsp,lninc50avgall,baplusavgall,unempavgall,snapavgall,povertyavgall,single_momavgall,lninc50avgasn,baplusavgasn,unempavgasn,snapavgasn,povertyavgasn,single_momavgasn,lninc50avgblk,baplusavgblk,unempavgblk,snapavgblk,povertyavgblk,single_momavgblk,lninc50avghsp,baplusavghsp,unempavghsp,snapavghsp,povertyavghsp,single_momavghsp,lninc50avgnam,baplusavgnam,unempavgnam,snapavgnam,povertyavgnam,single_momavgnam,lninc50avgwht,baplusavgwht,unempavgwht,snapavgwht,povertyavgwht,single_momavgwht,sesavgwhtasn,sesavgwhtnam,urbanicity
3015360,Judith Gap Elementary,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.969697,.042857144,0,0,0,.90112388,.31612045,.13606879,.45218924,.41242424,0,.15652505,11.81818181818182,,,0,,,,-1.6182808e-09,1.1545867e-08,,,0,0,,,0,,.63850921,,,,,.69689631,,,10.581567,.26260069,.039538179,.090634063,.12086669,.088695586,,,,,,,,,,,,,,,,,,,,,,,,,10.625815,.25857869,.042728812,.0867415,.10095463,.099178426,,,Rural
3015450,Kalispell Elementary,30,MT,Pre-Kindergarten,12,0,0,.9922328,.0077671795,0,0,0,0,0,0,0,0,.9922328,.0077671795,0,0,325.68182,.022674456,.013669251,.029778384,.007118301,.91976905,.33830249,.083998546,.42230102,.46996626,.008201791,.13412525,1954.090909090909,.022784222,.0093578314,.01840733,.012660441,.070110321,.038093049,.042176187,.12540191,.0076937308,.0096137896,.050393309,.1246966,.010085798,.011456161,.0097299498,-.0023235858,.32910043,,,,,.37038857,,,10.725329,.29062787,.05690727,.098934062,.12442494,.15680091,,,,,,,,,,,,,,,,,,,,,,,,,10.735233,.29632619,.056850072,.094196178,.11690455,.15602183,,,Town
3015510,Kester Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.72727275,0,0,.018181818,0,.9818182,.14398059,.1054042,.24938478,0,0,.090909094,4.363636363636363,,,,,,,-8.5377563e-09,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
3015570,Kila Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.575758,.0066677034,.0029705018,.0305395,.0046235304,.92136806,.41887796,.13592078,.55479872,.58454257,.0046650716,.13099757,105.4545454545455,0,0,0,0,-5.1693752e-09,-4.1404355e-09,-2.1715851e-09,3.5360677e-09,0,0,0,0,0,0,0,0,.54131949,,,,,.5317933,,,10.798106,.22956045,.068513453,.066467673,.12416448,.068483397,,,,,,,,,,,,,,,,,,,,,,,,,10.787807,.22252411,.064039961,.068850651,.11368396,.072360061,,,Rural
3015610,King Colony Elementary,30,MT,Pre-Kindergarten,8,0,0,.090909094,.90909094,0,0,0,0,0,0,0,0,.090909094,0,.90909094,0,.72727275,0,0,0,0,.96969694,.60246396,.12768278,.73014671,.96333331,0,.25512266,4.363636363636363,,,,,,,6.1198451e-09,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
3015640,Kircher Elementary,30,MT,Pre-Kindergarten,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.3545456,.077391885,.0045454544,.028942252,.0043290043,.82647884,.38875917,.11453503,.50329423,.48736873,0,.18343511,19.36363636363636,0,0,0,0,3.9169215e-08,9.5234514e-09,4.2271049e-09,3.5098366e-09,0,0,0,0,0,0,0,0,1.4083329,,,,,1.4150289,,,11.062118,.2840125,.019087637,.059672352,.054675121,.064107873,,,,,,,,,,,,,,,,,,,,,,,,,11.060244,.29090005,.023078619,.058823414,.059729178,.050140791,,,Rural
3015690,Knees Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.36363637,.63636363,1.969697,0,0,0,0,1,.19630098,.11358445,.30988544,0,.36692989,.096574552,11.81818181818182,,,,,,,-2.5542319e-09,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
3015900,Upper West Shore Elementary,30,MT,Pre-Kindergarten,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.6363635,.19336887,0,.02689394,.0093757203,.75951618,.5429697,.19686623,.73983592,.2173318,0,.12752709,22.54545454545455,0,0,0,,-3.2421323e-08,-7.3654527e-09,5.7433258e-09,-6.9190924e-09,0,0,0,0,0,0,0,,.54084295,,,,,.78245473,,,10.759886,.32294267,.06137725,.084546633,.14382003,.10140263,,,,,,,,,,,,,,,,,,,,,,,,,10.789518,.33746064,.047504254,.072759405,.11901631,.097091474,,,Rural
3015930,Swan Lake-Salmon Elementary,30,MT,Pre-Kindergarten,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,.4848485,.075757578,0,0,0,.92424244,.17602813,.1384632,.31449133,0,0,0,2.909090909090909,,,,,,,-1.1264315e-08,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rural
3015990,Lambert Elementary,30,MT,Pre-Kindergarten,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.3333335,.013651537,0,.044742059,.014762695,.91006768,.11986952,.090951562,.21082109,.15117969,0,.11716521,44,0,0,0,,-1.3231765e-09,6.0937189e-09,6.8541759e-09,1.1431843e-08,0,0,0,0,0,0,0,,1.1983069,,,,,1.1844343,,,11.028195,.26326311,.027312228,.05744905,.11208203,.052571915,,,,,,,,,,,,,,,,,,,,,,,,,11.040125,.26994395,.032547761,.05800911,.10287827,.049767204,,,Rural
